candidate_id,rank,score,reasoning
CAND_0093547,34,0.512,Extensive experience in startup-based companies (52 months).; Extensive experience in product-based companies (74 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0041610,35,0.51,6.7 years of professional experience.; Extensive experience in product-based companies (79 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0028793,36,0.508,7.2 years of professional experience.; Extensive experience in product-based companies (85 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0055905,37,0.508,8.1 years of professional experience.; Extensive experience in startup-based companies (45 months).. Concern: Country not matched with job description.
CAND_0077337,38,0.508,7.0 years of professional experience.; Extensive experience in product-based companies (83 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0070398,39,0.507,7.2 years of professional experience.; Extensive experience in product-based companies (48 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0071974,40,0.506,7.8 years of professional experience.; Extensive experience in product-based companies (92 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0080766,41,0.499,8.8 years of professional experience.; Extensive experience in startup-based companies (12 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0019480,42,0.496,Extensive experience in product-based companies (87 months).; Consistent technical career progression.. Concern: Willing to relocate but location not matched with job description.
CAND_0054394,43,0.496,Extensive experience in product-based companies (48 months).; Consistent technical career progression.. Concern: Not willing to relocate and location not matched with job description.
CAND_0037566,44,0.495,6.9 years of professional experience.; Extensive experience in product-based companies (82 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0069905,45,0.495,6.6 years of professional experience.; Extensive experience in startup-based companies (26 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0031593,46,0.492,7.8 years of professional experience.; Extensive experience in startup-based companies (33 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0044855,47,0.492,6.6 years of professional experience.; Extensive experience in startup-based companies (25 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0018549,48,0.491,6.8 years of professional experience.; Extensive experience in product-based companies (81 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0005649,49,0.49,7.4 years of professional experience.; Extensive experience in startup-based companies (30 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0007009,50,0.489,7.9 years of professional experience.; Extensive experience in startup-based companies (14 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0017960,51,0.488,7.7 years of professional experience.; Extensive experience in startup-based companies (37 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0099806,52,0.488,Extensive experience in product-based companies (54 months).; Current role 'AI Engineer' is directly relevant.. Concern: Willing to relocate but location not matched with job description.
CAND_0000031,53,0.487,6.0 years of professional experience.; Extensive experience in product-based companies (70 months).
CAND_0007460,54,0.486,Extensive experience in product-based companies (56 months).; Consistent technical career progression.. Concern: Not willing to relocate and location not matched with job description.
CAND_0024466,55,0.486,5.2 years of professional experience.; Extensive experience in product-based companies (62 months).. Concern: Country not matched with job description.
CAND_0036437,56,0.485,Extensive experience in startup-based companies (21 months).; Extensive experience in product-based companies (56 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0084819,57,0.481,Extensive experience in product-based companies (53 months).; Consistent technical career progression.. Concern: Not willing to relocate and location not matched with job description.
CAND_0099401,58,0.481,7.7 years of professional experience.; Extensive experience in startup-based companies (16 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0051004,59,0.479,Extensive experience in startup-based companies (32 months).; Extensive experience in product-based companies (56 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0088025,60,0.477,8.6 years of professional experience.; Extensive experience in startup-based companies (44 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0011162,61,0.476,5.8 years of professional experience.; Extensive experience in product-based companies (68 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0096142,62,0.476,5.0 years of professional experience.; Extensive experience in product-based companies (42 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0098846,63,0.476,7.6 years of professional experience.; Extensive experience in product-based companies (90 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0094056,64,0.475,5.9 years of professional experience.; Extensive experience in startup-based companies (36 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0062247,65,0.474,7.3 years of professional experience.; Extensive experience in product-based companies (87 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0081852,66,0.474,5.9 years of professional experience.; Extensive experience in product-based companies (70 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0091909,67,0.473,6.9 years of professional experience.; Extensive experience in startup-based companies (51 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0037000,68,0.47,Extensive experience in product-based companies (75 months).; Consistent technical career progression.. Concern: Not willing to relocate and location not matched with job description.
CAND_0027691,69,0.468,6.5 years of professional experience.; Extensive experience in product-based companies (76 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0027801,70,0.465,7.4 years of professional experience.; Extensive experience in product-based companies (87 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0030348,71,0.465,Extensive experience in product-based companies (25 months).; Consistent technical career progression.. Concern: Not willing to relocate and location not matched with job description.
CAND_0030468,72,0.465,5.4 years of professional experience.; Extensive experience in startup-based companies (32 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0083879,73,0.465,7.1 years of professional experience.; Extensive experience in product-based companies (84 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0015578,74,0.463,5.4 years of professional experience.; Extensive experience in product-based companies (64 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0065195,75,0.462,5.1 years of professional experience.; Extensive experience in product-based companies (61 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0093193,76,0.461,7.9 years of professional experience.; Extensive experience in startup-based companies (44 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0044883,77,0.46,6.3 years of professional experience.; Extensive experience in product-based companies (74 months).. Concern: Country not matched with job description.
CAND_0061265,78,0.459,6.6 years of professional experience.; Extensive experience in product-based companies (78 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0036863,79,0.458,Extensive experience in product-based companies (51 months).; Consistent technical career progression.. Concern: Willing to relocate but location not matched with job description.
CAND_0037944,80,0.458,Extensive experience in product-based companies (58 months).; Consistent technical career progression.. Concern: Not willing to relocate and location not matched with job description.
CAND_0006418,81,0.457,5.7 years of professional experience.; Extensive experience in startup-based companies (40 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0010770,82,0.456,15.2 years of professional experience.; Extensive experience in startup-based companies (74 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0074225,83,0.456,Extensive experience in product-based companies (51 months).; Consistent technical career progression.. Concern: Willing to relocate but location not matched with job description.
CAND_0095528,84,0.455,5.3 years of professional experience.; Extensive experience in product-based companies (63 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0055992,85,0.454,16.9 years of professional experience.; Extensive experience in startup-based companies (15 months).. Concern: Country not matched with job description.
CAND_0081053,86,0.453,5.4 years of professional experience.; Extensive experience in product-based companies (64 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0057701,87,0.451,Extensive experience in startup-based companies (49 months).; Extensive experience in product-based companies (49 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0092245,88,0.451,Extensive experience in product-based companies (49 months).; Current role 'Senior Data Scientist' is directly relevant.. Concern: Not willing to relocate and location not matched with job description.
CAND_0065878,89,0.45,7.8 years of professional experience.; Extensive experience in startup-based companies (39 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0068351,90,0.45,6.4 years of professional experience.; Extensive experience in startup-based companies (70 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0070202,91,0.45,5.1 years of professional experience.; Extensive experience in product-based companies (12 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0075249,92,0.45,6.2 years of professional experience.; Extensive experience in product-based companies (74 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0014440,93,0.449,6.4 years of professional experience.; Extensive experience in product-based companies (76 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0005311,94,0.448,5.7 years of professional experience.; Extensive experience in startup-based companies (40 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0078492,95,0.447,5.1 years of professional experience.; Extensive experience in startup-based companies (12 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0009691,96,0.446,6.2 years of professional experience.; Extensive experience in product-based companies (43 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0020708,97,0.446,Extensive experience in product-based companies (50 months).; Consistent technical career progression.. Concern: Not willing to relocate and location not matched with job description.
CAND_0070485,98,0.446,6.4 years of professional experience.; Extensive experience in startup-based companies (26 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0040117,99,0.445,6.5 years of professional experience.; Extensive experience in product-based companies (77 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0066999,100,0.444,5.9 years of professional experience.; Extensive experience in product-based companies (70 months).. Concern: Willing to relocate but location not matched with job description.
